courseName,capacity,remainingSeats
Build Your Own AI!,93,93
Cybersecurity Ninja Training,47,47
Recursion: A Non-tree-vial Introduction,48,48
Git Gud at Version Control,14,14
How Apps Update Instantly: Behind the Scenes of Live Data,20,20
Quantum Computing for High Schoolers,48,48
Cryptography from Scratch,20,20
Introduction to Web Development with React,22,22
Python Mosaic,14,14
Intro to Game Development w/ Roblox Studio,20,20
The Design Behind Every App You Love: An Intro to UI/UX,14,14
Baby's First Vim Motions,20,20
Programming Language Semantics,48,48
Red-teaming: Finding the Cracks in AI,200,200
From High School to Hired: Resumes Internships and Breaking into Tech,70,70
Intro to the Engineering Pathways Program,20,20
Code Meets Cosmos,46,46
Quantum Computing for High Schoolers,93,93
Tiling Problems of Domino and Higher Dimensions,47,47
Intro to LLMs,48,48
Git Gud at Version Control,14,14
Teaching Computers to Think with 1s and 0s,20,20
Intro to Search Engines,48,48
Coding Music,20,20
Introduction to Data Science and Machine Learning with Python,70,70
What the Heck is a Programming Language?,14,14
Intro to Game Development w/ Roblox Studio,20,20
CS Explained Through Anime and Shows,22,22
The Design Behind Every App You Love: An Intro to UI/UX,14,14
Imposter Syndrome 101: Navigating the I Don't Belong Bug,20,20
Baby's First Vim Motions,20,20
How to Bake One Million Cakes: A Guide to Algorithm Design,48,48
Breaking In & Standing Out,200,200
Code Meets Cosmos,46,46
Humanized Machine Learning,93,93
Cybersecurity Ninja Training,47,47
Intro to LLMs,48,48
Thinking Like a Computer: Sorting and Searching Algorithms,14,14
Introduction to Data Science and Machine Learning with Python,70,70
How Your Computer Lies to You: An Introduction to Numerical Analysis,46,46
How to Bake One Million Cakes: A Guide to Algorithm Design,48,48
Breaking In & Standing Out,200,200
Python Mosaic,14,14
None to Billions -- Logic. Induction. Recursion.,20,20
Beyond the Classroom: Finding Your Community with RSOs in CS @ Illinois,22,22
How to Think Like a Hacker,20,20
How to Build Tech for Social Good!,20,20
What the Heck is a Programming Language?,100,100
Thinking Like a Computer: Sorting and Searching Algorithms,100,100
Introduction to Artificial Intelligence & Neural Networks,100,100
Beyond the Keyboard: Navigating Digital Tech Project Management,100,100
CS Explained Through Anime and Shows,100,100
Baby's First Vim Motions,100,100
From High School to Hired: Resumes Internships and Breaking into Tech,100,100
Build Your Own AI!,100,100
Intro to Search Engines,100,100
How Your Computer Lies to You: An Introduction to Numerical Analysis,100,100
Red-teaming: Finding the Cracks in AI,100,100
Getting Started with Research,100,100
Git Gud at Version Control,100,100
Beyond the Keyboard: Navigating Digital Tech Project Management,100,100
Beyond the Classroom: Finding Your Community with RSOs in CS @ Illinois,100,100
Breaking In & Standing Out,100,100
Code Meets Cosmos,100,100
Intro to Game Development w/ Roblox Studio,100,100
Tiling Problems of Domino and Higher Dimensions,100,100
Intro to the Engineering Pathways Program,100,100
Cybersecurity Ninja Training,100,100
Running with the Bulls: Data Science in Sports Analytics,20,20
